Symbol,Name,Sector,Industry,Index,Secode,Indcode
KMB,Kimberly-Clark,Consumer Defensive,Household & Personal Products,SP500,cd,hpp
KIM,Kimco Realty,Real Estate,REIT - Retail,SP500,re,rret
KSS,Kohl's Corp.,Consumer Cyclical,Department Stores,SP500,cc,des
KR,Kroger Co.,Consumer Defensive,Grocery Stores,SP500,cd,gs
LB,L Brands Inc.,Consumer Cyclical,Apparel Stores,SP500,cc,as
LLL,L-3 Communications Holdings,Industrials,Aerospace & Defense,SP500,ind,ad
LH,Laboratory Corp. of America Holding,Healthcare,Diagnostics & Research,SP500,hea,dr
LW,Lamb Weston Holdings Inc,Consumer Defensive,Packaged Foods,SP500,cd,pf
LEG,Leggett & Platt,Consumer Cyclical,Home Furnishings & Fixtures,SP500,cc,hff
LEN,Lennar Corp.,Consumer Cyclical,Residential Construction,SP500,cc,rco
LNC,Lincoln National,Financial Services,Insurance - Life,SP500,fs,il
LIN,Linde plc,Basic Materials,Specialty Chemicals,SP500,bm,sc
LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,SP500,cc,ap
L,Loews Corp.,Financial Services,Insurance - Property & Casualty,SP500,fs,ipc
LYB,LyondellBasell,Basic Materials,Specialty Chemicals,SP500,bm,sc
MTB,M&T Bank Corp.,Financial Services,Banks - Regional - US,SP500,fs,bru
MAC,Macerich,Real Estate,REIT - Retail,SP500,re,rret
M,Macy's Inc.,Consumer Cyclical,Department Stores,SP500,cc,des
MRO,Marathon Oil Corp.,Energy,Oil & Gas E&P,SP500,ene,ogep
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,SP500,ene,ogrm
MMC,Marsh & McLennan,Financial Services,Insurance Brokers,SP500,fs,ib
MLM,Martin Marietta Materials,Basic Materials,Building Materials,SP500,bm,bm
MAS,Masco Corp.,Basic Materials,Building Materials,SP500,bm,bm
MAT,Mattel Inc.,Consumer Cyclical,Leisure,SP500,cc,lei
MKC,McCormick & Co.,Consumer Defensive,Packaged Foods,SP500,cd,pf
MCK,McKesson Corp.,Healthcare,Medical Distribution,SP500,hea,mdis
MTD,Mettler Toledo,Healthcare,Diagnostics & Research,SP500,hea,dr
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,SP500,cc,rca
MAA,Mid-America Apartments,Real Estate,REIT - Residential,SP500,re,rres
MHK,Mohawk Industries,Consumer Cyclical,Home Furnishings & Fixtures,SP500,cc,hff
TAP,Molson Coors Brewing Company,Consumer Defensive,Beverages - Brewers,SP500,cd,bb
MCO,Moody's Corp,Financial Services,Capital Markets,SP500,fs,cmar
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,SP500,bm,ai
MSI,Motorola Solutions Inc.,Technology,Communication Equipment,SP500,tec,ceq
MSCI,MSCI Inc,Financial Services,Capital Markets,SP500,fs,cmar
NDAQ,"Nasdaq, Inc.",Financial Services,Financial Exchanges,SP500,fs,fe
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,SP500,ene,oges
NKTR,Nektar Therapeutics,Healthcare,Biotechnology,SP500,hea,bio
NWL,Newell Brands,Consumer Defensive,Household & Personal Products,SP500,cd,hpp
NFX,Newfield Exploration Co,Energy,Oil & Gas E&P,SP500,ene,ogep
NEM,Newmont Mining Corporation,Basic Materials,Gold,SP500,bm,gol
NWSA,News Corp. Class A,Consumer Cyclical,Broadcasting - TV,SP500,cc,bt
NWS,News Corp. Class B,Consumer Cyclical,Broadcasting - TV,SP500,cc,bt
NLSN,Nielsen Holdings,Industrials,Business Services,SP500,ind,bs
NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,SP500,uti,urg
NBL,Noble Energy Inc,Energy,Oil & Gas E&P,SP500,ene,ogep
JWN,Nordstrom,Consumer Cyclical,Department Stores,SP500,cc,des
NSC,Norfolk Southern Corp.,Industrials,Railroads,SP500,ind,rai
NTRS,Northern Trust Corp.,Financial Services,Asset Management,SP500,fs,amana
NOC,Northrop Grumman Corp.,Industrials,Aerospace & Defense,SP500,ind,ad
NCLH,Norwegian Cruise Line,Consumer Cyclical,Leisure,SP500,cc,lei
NRG,NRG Energy,Utilities,Utilities - Independent Power Producers,SP500,uti,uipp
NUE,Nucor Corp.,Basic Materials,Steel,SP500,bm,ste
OMC,Omnicom Group,Consumer Cyclical,Advertising Agencies,SP500,cc,aa
OKE,ONEOK,Energy,Oil & Gas Midstream,SP500,ene,ogm
PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,SP500,cc,pc
PH,Parker-Hannifin,Industrials,Diversified Industrials,SP500,ind,di
PNR,Pentair plc,Industrials,Diversified Industrials,SP500,ind,di
PBCT,People's United Financial,Financial Services,Banks - Regional - US,SP500,fs,bru
PKI,PerkinElmer,Healthcare,Diagnostics & Research,SP500,hea,dr
PRGO,Perrigo,Healthcare,Drug Manufacturers - Specialty & Generic,SP500,hea,dmsg
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,SP500,ene,ogrm
PNW,Pinnacle West Capital,Utilities,Utilities - Regulated Electric,SP500,uti,ure
PXD,Pioneer Natural Resources,Energy,Oil & Gas E&P,SP500,ene,ogep
PNC,PNC Financial Services,Financial Services,Banks - Regional - US,SP500,fs,bru
RL,Polo Ralph Lauren Corp.,Consumer Cyclical,Apparel Manufacturing,SP500,cc,amang
PPG,PPG Industries,Basic Materials,Specialty Chemicals,SP500,bm,sc
PPL,PPL Corp.,Utilities,Utilities - Regulated Electric,SP500,uti,ure
PFG,Principal Financial Group,Financial Services,Insurance - Life,SP500,fs,il
PGR,Progressive Corp.,Financial Services,Insurance - Property & Casualty,SP500,fs,ipc
PLD,Prologis,Real Estate,REIT - Industrial,SP500,re,ri
PRU,Prudential Financial,Financial Services,Insurance - Life,SP500,fs,il
PEG,Public Serv. Enterprise Inc.,Utilities,Utilities - Diversified,SP500,uti,ud
PSA,Public Storage,Real Estate,REIT - Industrial,SP500,re,ri
PHM,Pulte Homes Inc.,Consumer Cyclical,Residential Construction,SP500,cc,rco
PVH,PVH Corp.,Consumer Cyclical,Apparel Manufacturing,SP500,cc,amang
QRVO,Qorvo,Technology,Semiconductors,SP500,tec,semc
PWR,Quanta Services Inc.,Industrials,Engineering & Construction,SP500,ind,econ
